MainDTN,ChE30M,ChERM,ChE30,MDTN_R,ChEBM,MDTN_B,NSCh2pD,NFCh30m,TotCha,geometry,corridor_name
3.49,0.0,2.14,2.46,3.05,0.32,0.44,2.0,1.0,3.0,"POLYGON ((0.1334094873917981 48.80994620466559, 0.0009202812799348 49.013371723800134, 0.3245477536173066 49.09667142284914, 0.4558666952478696 48.89291057776604, 0.1334094873917981 48.80994620466559))",Motorway A 28 Corridor (Lisores)
57.7,0.0,9.88,34.91,16.39,25.03,41.31,9.0,3.0,12.0,"POLYGON ((22.31455396821822 39.68280492718659, 22.28810366916894 39.90671265684905, 22.579895599517336 39.92664856264051, 22.60521351850821 39.70267703343969, 22.31455396821822 39.68280492718659))",Αθήνα - Θεσσαλονίκη - Εύζωνοι Highway Corridor (Municipal Unit of Makrichori)
49.18,0.0,3.11,25.78,6.55,22.68,42.63,4.0,3.0,7.0,"POLYGON ((13.049855520526837 53.531538969963904, 12.966855674799561 53.745372086025284, 13.347058436505801 53.791788822033354, 13.428212987024953 53.57772289258438, 13.049855520526837 53.531538969963904))",Motorway A 20 Corridor (Groß Teetzleben)
39.81,0.0,4.18,15.67,10.17,11.48,29.64,6.0,2.0,8.0,"POLYGON ((18.383252134827135 44.965712866300954, 18.337108630706066 45.1850025474048, 18.656993292720394 45.21630843597564, 18.70179330752386 44.99690035761899, 18.383252134827135 44.965712866300954))",Motorway A3 Corridor (Kruševica)
5.16,0.0,0.16,3.04,0.24,2.87,4.92,1.0,1.0,2.0,"POLYGON ((-2.912336260282954 53.03704795573228, -3.072456205956479 53.235975860030884, -2.7228519371542954 53.32719157971325, -2.5640285077031892 53.12784522262634, -2.912336260282954 53.03704795573228))",Motorway M56 Corridor (Brown Heath)
11.86,0.0,4.55,7.22,7.68,2.67,4.18,4.0,1.0,5.0,"POLYGON ((-5.463517849816952 39.70342801299005, -5.594661216599263 39.90436517161119, -5.332548169233146 40.004985717962164, -5.20209672719631 39.80375885703024, -5.463517849816952 39.70342801299005))",Motorway Autovía del Suroeste Corridor (El Gordo)
48.55,0.0,7.22,24.88,14.1,17.66,34.45,8.0,3.0,11.0,"POLYGON ((11.54342625467316 47.69229777580301, 11.463825943447052 47.90652910644653, 11.795994724762286 47.957654096202276, 11.874200160365927 47.74321464203511, 11.54342625467316 47.69229777580301))",Motorway A 8 Corridor (Holzkirchen)
28.47,0.0,5.73,18.04,9.24,12.31,19.23,5.0,2.0,7.0,"POLYGON ((-4.591959748659144 36.76863280800083, -4.713789176554754 36.972774682663356, -4.462996392017389 37.07200139756048, -4.341812557796449 36.86759861609514, -4.591959748659144 36.76863280800083))",Motorway Autovía de Estación de Salinas a Villanueva de Cauche Corridor (Villanueva de la Concepción)
5.62,0.0,0.32,2.31,0.66,1.99,4.96,1.0,1.0,2.0,"POLYGON ((15.952948027069926 58.08131575152476, 15.876537565503861 58.29719528507876, 16.306447802827915 58.33520414280052, 16.380460933394662 58.11909585533392, 15.952948027069926 58.08131575152476))",35 Corridor (Östergötland County)
102.4,0.0,3.23,68.78,4.83,65.55,97.57,3.0,5.0,8.0,"POLYGON ((-1.7154095622696488 47.10747438085889, -1.8509682856680554 47.30935002455717, -1.5419923104801512 47.39797067713389, -1.4074686385200432 47.195761751696615, -1.7154095622696488 47.10747438085889))",Motorway A 83 Corridor (Saint-Herblain)
45.94,0.0,21.41,31.01,31.49,9.6,14.44,16.0,2.0,18.0,"POLYGON ((0.4558666952478696 48.89291057776604, 0.3245477536173066 49.09667142284914, 0.6493261305533329 49.17907218165178, 0.7794606833054488 48.97497810513223, 0.4558666952478696 48.89291057776604))",Motorway A 28 Corridor (Grand-Camp)
14.0,0.0,0.28,5.71,0.62,5.44,13.38,1.0,2.0,3.0,"POLYGON ((15.041906966910942 45.25562976218639, 14.98109408593793 45.473124025844655, 15.300428168706585 45.5142721543282, 15.359923048160638 45.29662191802077, 15.041906966910942 45.25562976218639))",Motorway A6 Corridor (Veliki Jadrč)
10.9,0.0,6.91,7.48,10.04,0.58,0.86,6.0,1.0,7.0,"POLYGON ((26.08490339195315 45.89346384396476, 26.071847931765898 46.11440285229945, 26.400678741332143 46.12272409431677, 26.41228744752637 45.90175234177878, 26.08490339195315 45.89346384396476))",DN11 Route (Hilib)
1.93,0.0,0.05,1.45,0.07,1.4,1.86,1.0,1.0,2.0,"POLYGON ((17.427544662933304 40.57860561151724, 17.38125429876696 40.80006844037049, 17.67534932596841 40.83463270783313, 17.72050830239037 40.613056868102184, 17.427544662933304 40.57860561151724))",Strada Statale 379 Egnazia e delle Terme di Torre Canne Route (Ostuni)
31.87,0.0,5.61,15.31,12.89,9.7,18.98,7.0,2.0,9.0,"POLYGON ((17.931854459344986 52.93084772443918, 17.87478972703867 53.147358976802494, 18.254118410304063 53.179564647945895, 18.309298686813463 52.96289348118786, 17.931854459344986 52.93084772443918))",S5;S10;25 Highway Corridor (Emilianowo)
2.72,0.0,0.02,1.8,0.04,1.78,2.68,1.0,1.0,2.0,"POLYGON ((10.787883271489187 63.19515367862996, 10.66510461472486 63.410558127045306, 11.155623997128107 63.46422669617176, 11.275382410310826 63.24842385322085, 10.787883271489187 63.19515367862996))",E 6 Route (Trøndelag)
8.6,0.0,0.84,5.12,1.39,4.29,7.21,1.0,1.0,2.0,"POLYGON ((-5.20209672719631 39.80375885703024, -5.332548169233146 40.004985717962164, -5.069509909410907 40.104863986619456, -4.939759335895542 39.90334811105822, -5.20209672719631 39.80375885703024))",Motorway Autovía del Suroeste Corridor (Torralba de Oropesa)
122.29,0.0,19.47,73.32,32.71,53.85,89.59,17.0,4.0,21.0,"POLYGON ((2.543955050387671 51.04173418411718, 2.41589533266876 51.247170268010656, 2.760131440962628 51.32356947780194, 2.886821108322178 51.11779696647627, 2.543955050387671 51.04173418411718))",Motorway E40 Corridor (Unknown Area)
0.16,0.0,0.0,0.1,0.0,0.1,0.16,0.0,1.0,1.0,"POLYGON ((21.61806403721677 38.27208929494423, 21.58958338654005 38.496838403550065, 21.874101536905307 38.5189907906728, 21.90150738288232 38.29417404950723, 21.61806403721677 38.27208929494423))",Περιμετρική Οδός Πατρών Highway Corridor (Municipal Unit of Nafpaktos)
56.88,0.0,33.09,34.59,54.43,1.5,2.45,28.0,1.0,29.0,"POLYGON ((-2.8634301539413154 42.37578727585349, -2.991355225284 42.57851070641017, -2.7116244130513274 42.6712722442474, -2.5845304783227636 42.46825246738332, -2.8634301539413154 42.37578727585349))",Motorway Autopista del Ebro Corridor (Briones)
35.8,0.0,10.87,25.0,15.59,14.12,20.2,8.0,2.0,10.0,"POLYGON ((5.295064672517063 45.35761898682126, 5.192842822325224 45.56774581434628, 5.502132694042786 45.63710375672742, 5.6032109729565045 45.426721842591995, 5.295064672517063 45.35761898682126))",Motorway A 48 Corridor (Biol)
159.31,0.0,47.41,109.71,68.63,62.3,90.68,35.0,4.0,39.0,"POLYGON ((5.195734817659122 47.66281912027332, 5.0881838101316985 47.87187391156583, 5.412159804028311 47.941187831537654, 5.51845758795404 47.731857853575804, 5.195734817659122 47.66281912027332))",Motorway Autoroute de Lorraine-Bourgogne Corridor (Bourg)
158.49,0.0,49.17,109.44,71.3,60.27,87.19,36.0,4.0,40.0,"POLYGON ((4.591597091188139 44.0239050501139, 4.489154328261714 44.23402406218775, 4.789541159597069 44.305604338663116, 4.89091367266998 44.09523418237545, 4.591597091188139 44.0239050501139))",Motorway Autoroute du Soleil Corridor (Chusclan)
1.78,0.0,0.18,0.61,0.66,0.42,1.12,1.0,1.0,2.0,"POLYGON ((10.070517043331797 57.42425893675925, 9.962291667368822 57.63625176922645, 10.377555571165443 57.69129456714196, 10.483626755371413 57.478984505169144, 10.070517043331797 57.42425893675925))",Hirtshalsmotorvejen Highway Corridor (Bindslev)
0.33,0.0,0.13,0.13,0.33,0.0,0.0,1.0,1.0,2.0,"POLYGON ((30.90384314792449 52.078270602937465, 30.91329979634271 52.29728536970161, 31.288956353813553 52.29119172267336, 31.277611552145725 52.07220659114909, 30.90384314792449 52.078270602937465))",М8 Route (Грабаўскі сельскі Савет)
33.5,0.0,9.62,20.96,15.71,11.34,17.79,8.0,2.0,10.0,"POLYGON ((7.407263425336556 46.73285890975616, 7.3112458175890795 46.94426843408327, 7.63206665271986 47.007409931574784, 7.726826972414786 46.79575515919057, 7.407263425336556 46.73285890975616))",Motorway A1 Corridor (Belp)
0.66,0.0,0.15,0.41,0.23,0.26,0.43,1.0,1.0,2.0,"POLYGON ((22.873543022855515 45.31597627328529, 22.846606529771954 45.536606955582364, 23.170869451607025 45.5545347962063, 23.196406262127883 45.33383507135162, 22.873543022855515 45.31597627328529))",DN66 Route (Hobița)
32.21,0.0,9.65,17.92,17.4,8.28,14.82,9.0,2.0,11.0,"POLYGON ((5.0852136254433375 51.34602966671366, 4.9681780842426795 51.55391059531066, 5.3190088290934066 51.62317751274646, 5.43457690176069 51.414984575214625, 5.0852136254433375 51.34602966671366))",Motorway A2 Corridor (Diessen)
22.0,0.0,0.37,8.79,0.82,8.42,21.18,1.0,2.0,3.0,"POLYGON ((24.81763813901176 53.11879373643862, 24.795799321666685 53.33738185405648, 25.18036170561604 53.34929661456787, 25.20022632193112 53.130648389423406, 24.81763813901176 53.11879373643862))",Зэльвенская вуліца Corridor (Дзярэчынскі сельскі Савет)
5.01,0.0,2.68,3.28,4.12,0.59,0.89,3.0,1.0,4.0,"POLYGON ((0.652075243895174 47.99411073855134, 0.5240750531961663 48.1983898566535, 0.8430580493413004 48.28036860624838, 0.9699123395660004 48.075767592013115, 0.652075243895174 47.99411073855134))",L’Océane Highway Corridor (Saint-Jean-des-Échelles)
52.12,0.0,20.74,29.98,36.19,9.24,15.93,19.0,2.0,21.0,"POLYGON ((-3.725408749694264 41.093989679191424, -3.8535254004132757 41.296363294282, -3.581757377077359 41.39182885346246, -3.454412309485659 41.189164326152216, -3.725408749694264 41.093989679191424))",Motorway Autovía del Norte Corridor (Duruelo)
12.11,0.0,1.48,8.14,2.19,6.66,9.92,2.0,2.0,4.0,"POLYGON ((10.677948166693456 60.67508453600627, 10.56332643823561 60.88867968447572, 11.018363051045945 60.94224917130396, 11.130386944671352 60.72829973836814, 10.677948166693456 60.67508453600627))",Skarpsnotunnelen Highway Corridor (Stavsjø)
0.31,0.0,0.09,0.17,0.17,0.08,0.14,1.0,1.0,2.0,"POLYGON ((7.153761287929778 53.33929328831028, 7.041439522463968 53.54874358223284, 7.412186439754965 53.61207088207215, 7.522833989987245 53.40231151841016, 7.153761287929778 53.33929328831028))",Motorway A 31 Corridor (Landkreis Aurich)
0.14,0.0,0.08,0.08,0.14,0.0,0.0,1.0,1.0,2.0,"POLYGON ((10.425787027075227 53.17797338898678, 10.330238247420077 53.39004562647359, 10.704127211005515 53.44403821386914, 10.797924105666493 53.23170081687591, 10.425787027075227 53.17797338898678))",Motorway A 39 Corridor (Lüdersburg)
2.82,0.0,1.13,1.42,2.25,0.29,0.57,2.0,1.0,3.0,"POLYGON ((29.0339593910783 53.187143616786194, 29.0339593910783 53.406078885097884, 29.419661558387478 53.40551069092467, 29.41766982531061 53.18657829974785, 29.0339593910783 53.187143616786194))",М5 Route (Любоніцкі сельскі Савет)
3.54,0.0,0.39,2.31,0.62,1.92,2.92,1.0,1.0,2.0,"POLYGON ((-1.5102191852081732 53.39456797809937, -1.6650349799828577 53.59515690743938, -1.3094491651143405 53.68256566266416, -1.1560087241946762 53.481567076250634, -1.5102191852081732 53.39456797809937))",Motorway M18 Corridor (Barnsley)
774.95,0.0,221.72,407.5,420.26,185.78,354.69,211.0,13.0,224.0,"POLYGON ((10.88953738842778 52.116204066485764, 10.798608313699118 52.32875121453064, 11.163886931668964 52.381449883579286, 11.253137813228802 52.16865325309796, 10.88953738842778 52.116204066485764))",Motorway A 2 Corridor (Helmstedt)
6.55,0.0,1.37,2.54,3.52,1.17,3.03,2.0,1.0,3.0,"POLYGON ((28.676118976622554 50.11775638859404, 28.674387362005273 50.337274089371206, 29.0339593910783 50.33780515871818, 29.0339593910783 50.118285045791744, 28.676118976622554 50.11775638859404))",М-06 Route (Zhytomyr Oblast)
11.06,0.0,3.69,5.73,6.99,2.04,4.06,4.0,1.0,5.0,"POLYGON ((8.463345178236741 48.31142553840559, 8.36884383501067 48.52310729199124, 8.701739942556628 48.58304599635056, 8.794874458201267 48.37111772637358, 8.463345178236741 48.31142553840559))",Motorway A 81 Corridor (Horb am Neckar)
4.86,0.0,0.21,3.35,0.36,3.14,4.5,1.0,1.0,2.0,"POLYGON ((26.709019255899708 46.57175802087217, 26.698583896380597 46.79245229329929, 27.0320341070339 46.79889419616966, 27.040981034413146 46.57817398970764, 26.709019255899708 46.57175802087217))",Centura Bacău Highway Corridor (Brad)
118.57,0.0,30.18,77.42,47.88,47.25,70.69,24.0,4.0,28.0,"POLYGON ((17.63243564274903 59.77730528857537, 17.562582525265668 59.99459223389187, 18.01460344176306 60.02775141920237, 18.081786224245423 59.8102495787964, 17.63243564274903 59.77730528857537))",Motorway E 4 Corridor (Uppsala)
82.55,0.0,17.51,52.93,27.57,35.41,54.98,14.0,3.0,17.0,"POLYGON ((2.7979312900165954 41.67311386822201, 2.6930026334996384 41.88275360826684, 2.9779812840101263 41.959893977860176, 3.081967442734087 41.75000575210672, 2.7979312900165954 41.67311386822201))",Motorway Autopista de la Mediterrània Corridor (Llagostera)
264.62,0.0,84.1,188.23,118.7,104.13,145.92,60.0,6.0,66.0,"POLYGON ((10.72458697126626 45.283543934001834, 10.645305988928715 45.49823949372154, 10.960767256839292 45.55200372087266, 11.038797532082857 45.33710672900576, 10.72458697126626 45.283543934001834))",Motorway Autostrada Serenissima Corridor (Sommacampagna)
284.43,0.0,29.24,135.13,59.42,105.89,225.02,30.0,9.0,39.0,"POLYGON ((16.61771038005276 52.14386284048187, 16.555111864226703 52.35987002364828, 16.926499986457937 52.39594544015436, 16.987302472113445 52.179764596291015, 16.61771038005276 52.14386284048187))",Motorway Autostrada Wolności Corridor (Trzebaw)
117.45,0.0,10.85,60.39,21.7,49.55,95.75,11.0,5.0,16.0,"POLYGON ((20.468815788716043 51.801259592859964, 20.425866191071687 52.01893133876714, 20.797004020381422 52.04371453588214, 20.838132756970577 51.82592409590735, 20.468815788716043 51.801259592859964))",Trasa Bohaterów Bitwy Warszawskiej 1920 r. Highway Corridor (Lutkówka)
33.48,0.0,10.13,17.74,18.85,7.62,14.63,10.0,2.0,12.0,"POLYGON ((10.609380394546331 53.65628894489684, 10.513669465269542 53.86845476787231, 10.892086673277598 53.921907870784594, 10.986000564183215 53.70947474898307, 10.609380394546331 53.65628894489684))",Motorway A 1 Corridor (Hornstorf)
103.16,0.0,25.15,71.9,36.27,46.74,66.89,19.0,4.0,23.0,"POLYGON ((7.0750493912246455 43.655761851999024, 6.983336803714772 43.8683663651247, 7.284848666010388 43.93291160120891, 7.375454128288634 43.720080947488185, 7.0750493912246455 43.655761851999024))",La Provençale Highway Corridor (Carros)
0.21,0.0,0.0,0.14,0.0,0.14,0.21,0.0,1.0,1.0,"POLYGON ((-2.5965498916694365 52.63854192179114, -2.7537072560979343 52.837903157400454, -2.4066902494501146 52.92828648230126, -2.2508178186990735 52.72851575392022, -2.5965498916694365 52.63854192179114))",Motorway M54 Corridor (Cherrington)
0.3,0.0,0.0,0.15,0.0,0.15,0.3,0.0,1.0,1.0,"POLYGON ((6.134332759479158 61.67676432741833, 5.987972316757931 61.88721943805889, 6.448373231401534 61.954024562591194, 6.5921801192209015 61.74311532598018, 6.134332759479158 61.67676432741833))",Andavegen Route (Vestland)
13.06,0.0,0.03,8.16,0.05,8.13,13.01,1.0,2.0,3.0,"POLYGON ((23.791342734658656 61.43653998663959, 23.757555913039823 61.65676331192188, 24.23583039215847 61.67172376486984, 24.266572371004585 61.451395288315325, 23.791342734658656 61.43653998663959))",Tampereen itäinen kehätie Highway Corridor (Kangasala)
4.74,0.0,2.37,3.27,3.45,0.9,1.29,2.0,1.0,3.0,"POLYGON ((-0.2453043407929582 45.36523892338672, -0.3702654625159635 45.56957664942791, -0.0694268715210111 45.65446958682709, 0.0545287888184252 45.449828050385705, -0.2453043407929582 45.36523892338672))",N 10 Route (Saint-Médard)
10.81,0.0,0.0,5.92,0.0,5.92,10.81,0.0,2.0,2.0,"POLYGON ((14.860319099926903 65.64091802948978, 14.756848849116395 65.86164138817335, 15.293296037671022 65.90381224777366, 15.393059165144189 65.6827307457065, 14.860319099926903 65.64091802948978))",Blå vägen Route (Västerbotten County)
64.97,0.0,5.16,46.24,6.95,41.08,58.02,4.0,3.0,7.0,"POLYGON ((11.18654913508122 43.9919161739381, 11.111149469494263 44.20760515939515, 11.419241855480681 44.26019209065975, 11.493444345139784 44.04431400698122, 11.18654913508122 43.9919161739381))",Motorway Autostrada del Sole Corridor (Firenzuola)
15.78,0.0,2.43,6.39,6.02,3.96,9.76,4.0,2.0,6.0,"POLYGON ((20.018713817439284 44.89222635210536, 19.979673638174877 45.11219960212144, 20.30001662979468 45.13865471086201, 20.337701409315937 44.91858136940101, 20.018713817439284 44.89222635210536))",Motorway A1 Corridor (Stara Pazova Municipality)
221.4,0.0,45.38,121.12,83.3,75.74,138.1,42.0,6.0,48.0,"POLYGON ((11.734293897309657 49.0790885266176, 11.653199343116265 49.29296403069873, 11.995484124433391 49.34341536228019, 12.07509568670737 49.12932444958936, 11.734293897309657 49.0790885266176))",Motorway A 3 Corridor (Hohenfels)
21.93,0.0,2.78,14.51,4.21,11.73,17.72,3.0,2.0,5.0,"POLYGON ((11.241052854877823 60.514382862579254, 11.130386944671352 60.72829973836814, 11.584183611171268 60.78021708828364, 11.69225493826689 60.56595862737484, 11.241052854877823 60.514382862579254))",Motorway E 6 Corridor (Innlandet)
5.46,0.0,1.79,3.6,2.56,1.81,2.89,2.0,1.0,3.0,"POLYGON ((1.2319972164446993 48.85151644366556, 1.1041851347181477 49.0561445790408, 1.4300335157184179 49.13640580126063, 1.5566397400665906 48.93145220335253, 1.2319972164446993 48.85151644366556))",Motorway Autoroute de Normandie Corridor (Orgeville)
1.62,0.0,0.08,1.09,0.12,1.01,1.51,1.0,1.0,2.0,"POLYGON ((-0.1722683663026322 44.66627370830521, -0.2952352764888892 44.87102575988855, 0.0016210014621748 44.95585270282044, 0.1236077426964883 44.750803883765975, -0.1722683663026322 44.66627370830521))",La Transeuropéenne Highway Corridor (Sainte-Florence)
60.24,0.0,25.23,33.6,46.82,8.37,13.42,24.0,2.0,26.0,"POLYGON ((0.3296168303778746 41.443700130054296, 0.2157722243528971 41.65078600795164, 0.4959231246596995 41.73493348969481, 0.6088878860859935 41.52758199269708, 0.3296168303778746 41.443700130054296))",Motorway Autopista Zaragoza-Mediterrània Corridor (Fraga)
74.73,0.0,17.73,50.67,27.08,32.94,47.65,14.0,3.0,17.0,"POLYGON ((1.9190453503312734 45.24032924962206, 1.8031709337233501 45.44712296913998, 2.1067832252375456 45.526020710194004, 2.221600457343044 45.31894253941215, 1.9190453503312734 45.24032924962206))",La Transeuropéenne Highway Corridor (Rosiers-d'Égletons)
221.05,0.0,50.44,154.57,71.96,104.14,149.1,36.0,6.0,42.0,"POLYGON ((-0.6700898325198617 45.483842110505, -0.7970637562651968 45.687634690642774, -0.4962408325850132 45.77367763218341, -0.3702654625159635 45.56957664942791, -0.6700898325198617 45.483842110505))",L'Aquitaine Highway Corridor (Berneuil)
1.1,0.0,0.41,0.59,0.77,0.18,0.34,1.0,1.0,2.0,"POLYGON ((-4.831511800079306 37.6833407621172, -4.956030965065089 37.886497939273916, -4.701785810275068 37.98606289633583, -4.577926754419759 37.78263631329197, -4.831511800079306 37.6833407621172))",Motorway Autovía del Sur Corridor (Córdoba)
13.79,0.0,1.29,7.79,2.32,6.5,11.47,2.0,2.0,4.0,"POLYGON ((-5.950931027543276 35.956859122504525, -6.075650168602925 36.15975114841599, -5.830422351567747 36.263015268194316, -5.706302216765288 36.05986132905237, -5.950931027543276 35.956859122504525))",Motorway Autovía de la Costa de la Luz Corridor (Unknown Area)
0.93,0.0,0.33,0.55,0.54,0.23,0.39,1.0,1.0,2.0,"POLYGON ((-5.830422351567747 36.263015268194316, -5.9553658418217115 36.46584404922183, -5.708706981076326 36.56866154292705, -5.584371192451671 36.365569093926766, -5.830422351567747 36.263015268194316))",Motorway Autovía Jerez-Los Barrios Corridor (Alcalá de los Gazules)
17.31,0.0,0.82,10.43,1.62,9.61,15.69,1.0,2.0,3.0,"POLYGON ((-6.490650840958521 38.79083449494362, -6.623280105563691 38.99095169596889, -6.367109522891679 39.09465738963235, -6.2351256063448295 38.894252420153876, -6.490650840958521 38.79083449494362))",Motorway Autovía del Suroeste Corridor (Esparragalejo)
0.02,0.0,0.02,0.02,0.02,0.0,0.0,1.0,1.0,2.0,"POLYGON ((26.706274039090353 67.7734659915708, 26.687907043433462 68.00163670770891, 27.274164320729877 68.00794923280664, 27.28794552892019 67.77971716401336, 26.706274039090353 67.7734659915708))",Ivalontie Route (Sodankylä)
8.92,0.0,1.58,3.46,4.07,1.88,4.84,3.0,1.0,4.0,"POLYGON ((34.34135665389482 49.561315748650905, 34.366706682617846 49.780434232130915, 34.72087958008106 49.7641617592466, 34.69385860109216 49.54511556178556, 34.34135665389482 49.561315748650905))",вулиця Харківське Шосе Route (Takhtaulove)
423.71,0.0,95.24,210.18,187.55,114.95,236.16,94.0,9.0,103.0,"POLYGON ((15.444784593846096 52.2451774066653, 15.376176016989577 52.460563520713045, 15.747412968152952 52.50005971471665, 15.814237440600008 52.28448329970155, 15.444784593846096 52.2451774066653))",S3 Highway Corridor (Międzyrzecz County)
161.64,0.0,61.24,85.29,115.52,24.06,46.12,58.0,3.0,61.0,"POLYGON ((12.915608931135296 50.822509367372994, 12.837008549488875 51.03668425482799, 13.193947587427932 51.0835969221117, 13.2709225959314 50.86920852994623, 12.915608931135296 50.822509367372994))",Motorway A 4 Corridor (Frankenberg/Sachsen)
0.14,0.0,0.0,0.1,0.0,0.1,0.14,0.0,1.0,1.0,"POLYGON ((20.86451926210731 39.57030238425833, 20.832445480829115 39.79385012653431, 21.123107970639246 39.81817758908964, 21.15406250557876 39.59455242366244, 20.86451926210731 39.57030238425833))",Εγνατία Οδός Highway Corridor (Μπαλτούμα)
5.79,0.0,0.0,3.86,0.0,3.86,5.79,0.0,1.0,1.0,"POLYGON ((21.940705459309523 40.33308028547993, 21.912465776113905 40.55642630887084, 22.207491970865895 40.57744605669514, 22.234575157683548 40.354031350672564, 21.940705459309523 40.33308028547993))",Εγνατία Οδός Highway Corridor (Veria Municipality)
0.2,0.0,0.0,0.13,0.0,0.13,0.2,0.0,1.0,1.0,"POLYGON ((24.60586203765796 44.06756448031273, 24.5869551680978 44.28921671810417, 24.90391946661095 44.3020213852661, 24.921484465054714 44.08032174962429, 24.60586203765796 44.06756448031273))",DN6 Route (Tirișneag)
7.86,0.0,2.25,5.26,3.26,3.02,4.59,2.0,1.0,3.0,"POLYGON ((6.939679564587507 45.482695336865625, 6.8440820781479905 45.694256162877856, 7.156333561544318 45.758905240514444, 7.250745338786646 45.54710398991271, 6.939679564587507 45.482695336865625))",Motorway Autostrada della Valle d'Aosta - Autoroute de la Vallée d'Aoste Corridor (Planté)
0.37,0.0,0.08,0.16,0.21,0.07,0.16,1.0,1.0,2.0,"POLYGON ((20.697475000762505 42.71057624988233, 20.66283709033576 42.93199984119895, 20.97040417896057 42.95658403520104, 21.003789753339454 42.73507377096775, 20.697475000762505 42.71057624988233))",Ulqini Corridor (Vërbnicë)
1.28,0.0,0.29,0.49,0.75,0.2,0.53,1.0,1.0,2.0,"POLYGON ((35.16523881367612 47.755582847467615, 35.19341028445691 47.97513874686165, 35.53390453772207 47.956397729995814, 35.5041911417561 47.73692004964702, 35.16523881367612 47.755582847467615))",М-18 Route (Ukrainka)
166.4,0.0,15.54,81.34,31.94,65.8,134.46,16.0,6.0,22.0,"POLYGON ((7.304407883488719 51.535061717426686, 7.197426324359535 51.744895522536694, 7.553124906673784 51.80787558444665, 7.658562950788717 51.59775350346417, 7.304407883488719 51.535061717426686))",Motorway A 2 Corridor (Olfen)
40.62,0.0,5.29,24.56,8.79,19.27,31.84,5.0,2.0,7.0,"POLYGON ((2.0178668658896783 41.93491425072661, 1.9094378602874278 42.143571915386076, 2.1946621244082642 42.222859517546716, 2.302156737632293 42.013945259105675, 2.0178668658896783 41.93491425072661))",Motorway Autovia Barcelona - Vic - Ripoll Corridor (Perafita)
130.94,0.0,53.85,72.87,95.94,19.02,35.0,48.0,3.0,51.0,"POLYGON ((10.704127211005515 53.44403821386914, 10.609380394546331 53.65628894489684, 10.986000564183215 53.70947474898307, 11.078966051223304 53.49696003017305, 10.704127211005515 53.44403821386914))",Motorway A 24 Corridor (Klein Zecher)
17.52,0.0,0.38,12.17,0.53,11.79,16.99,1.0,2.0,3.0,"POLYGON ((-3.3310150926203117 51.47624280154887, -3.487340239486744 51.67487705163773, -3.1510500828072097 51.76731831715318, -2.9959151392314496 51.568284068260716, -3.3310150926203117 51.47624280154887))",Motorway M4 Corridor (Llanbradach and Pwllypant)
116.32,0.0,6.55,44.85,16.96,38.31,99.36,9.0,5.0,14.0,"POLYGON ((21.180241297532607 43.64418904980509, 21.14702139347723 43.86522778687037, 21.460273550262528 43.88830418628862, 21.492192627782167 43.6671815091663, 21.180241297532607 43.64418904980509))",Motorway A1 Corridor (Varvarin Municipality)
6.02,0.0,0.83,4.02,1.26,3.18,4.76,1.0,1.0,2.0,"POLYGON ((25.672887248614977 61.70808631587885, 25.651042233753145 61.92881324036848, 26.133784647747227 61.938155498570616, 26.152519175026306 61.71736201855915, 25.672887248614977 61.70808631587885))",Valtatie Route (Joutsa)
1.29,0.0,0.03,0.84,0.04,0.81,1.25,1.0,1.0,2.0,"POLYGON ((2.2469296352859836 50.271387456738445, 2.1197031491429654 50.476693689673944, 2.457558846508353 50.55398525499591, 2.583470728760454 50.34834818801035, 2.2469296352859836 50.271387456738445))",Motorway Autoroute des Anglais Corridor (Troisvaux)
120.34,0.0,11.53,63.4,21.55,51.87,98.79,11.0,5.0,16.0,"POLYGON ((19.235776063261902 47.27682513479604, 19.19128117694114 47.49540353587358, 19.526927225885508 47.524026094254346, 19.56993842912428 47.30533061600351, 19.235776063261902 47.27682513479604))",Motorway M5 Corridor (Gyömrő)
116.73,0.0,75.32,80.08,110.16,4.75,6.57,56.0,1.0,57.0,"POLYGON ((1.4498070796892992 46.066184861711555, 1.3300679443759933 46.2721002288024, 1.637966271718356 46.35216436271185, 1.7566252688414887 46.145953042255606, 1.4498070796892992 46.066184861711555))",L'Occitane Highway Corridor (Saint-Priest-la-Feuille)
5.5,0.0,2.5,3.67,3.75,1.17,1.75,2.0,1.0,3.0,"POLYGON ((22.518934850622372 37.88533483470219, 22.494068007533837 38.1106396667678, 22.777038652688912 38.13008341831858, 22.800839912965287 37.90471991030133, 22.518934850622372 37.88533483470219))",Αθήνα - Πάτρα Highway Corridor (Municipal Unit of Sikyona)
3.66,0.0,1.35,2.55,1.94,1.2,1.72,1.0,1.0,2.0,"POLYGON ((13.672424630882862 57.185617589137905, 13.584970530424489 57.40000919562381, 14.002338163674448 57.444634821319866, 14.087560805701722 57.229985595528994, 13.672424630882862 57.185617589137905))",Motorway E 4 Corridor (Törestorp)
5.57,0.0,0.59,3.79,0.87,3.2,4.7,1.0,1.0,2.0,"POLYGON ((27.021409597575264 63.28134661491202, 27.00769270775146 63.50345695052851, 27.51409456738721 63.508760876908504, 27.524385559336253 63.2866098652757, 27.021409597575264 63.28134661491202))",Kuopiontie Route (Lapinlahti)
