MainDTN,ChE30M,ChERM,ChE30,MDTN_R,ChEBM,MDTN_B,NSCh2pD,NFCh30m,TotCha,geometry,corridor_name
16.13,0.0,3.17,11.43,4.52,8.26,11.61,3.0,2.0,5.0,"POLYGON ((1.3682886385852515 44.38020796465549, 1.252139580062428 44.58682486880002, 1.549830434269127 44.667422725560655, 1.6649708766787135 44.46052417011525, 1.3682886385852515 44.38020796465549))",L'Occitane Highway Corridor (Saint-Pierre-Lafeuille)
9.16,0.0,1.26,6.47,1.8,5.21,7.35,1.0,1.0,2.0,"POLYGON ((25.96971451709704 58.41096126029117, 25.951565831233708 58.63015657491321, 26.39150572618244 58.63860701098581, 26.40706880207758 58.41935943272761, 25.96971451709704 58.41096126029117))",Tallinn — Tartu — Võru — Luhamaa Route (Jõgeva County)
122.0,0.0,41.62,79.42,61.73,37.8,60.26,31.0,3.0,34.0,"POLYGON ((6.076757307512157 48.77300274365127, 5.970592488303475 48.98247879632715, 6.30353536588461 49.04917006727338, 6.408364128675029 48.839418038897485, 6.076757307512157 48.77300274365127))",Motorway Autoroute de Lorraine-Bourgogne Corridor (Éply)
13.95,0.0,3.51,9.78,5.16,6.27,8.8,3.0,2.0,5.0,"POLYGON ((0.2061938223438791 48.115524564747645, 0.0759533497618684 48.31926287379964, 0.3949730633305646 48.40245538179536, 0.5240750531961663 48.1983898566535, 0.2061938223438791 48.115524564747645))",Motorway A 28 Corridor (Marolles-les-Braults)
2.25,0.0,1.16,1.24,2.11,0.08,0.14,2.0,1.0,3.0,"POLYGON ((13.146967568051132 50.17937370774599, 13.070578095695382 50.39385581978434, 13.422682652929142 50.44013545993333, 13.497488061144697 50.22544725179557, 13.146967568051132 50.17937370774599))",D7 Highway Corridor (Blov)
215.7,0.0,71.32,113.99,135.73,42.68,79.97,68.0,4.0,72.0,"POLYGON ((11.770794535176606 50.88977951434558, 11.686583401787166 51.10318268028066, 12.042813570165578 51.15340388411624, 12.12541822028431 50.93977240575759, 11.770794535176606 50.88977951434558))",Motorway A 9 Corridor (Heideland)
68.78,0.0,4.19,42.24,7.53,38.06,61.24,4.0,3.0,7.0,"POLYGON ((-0.2653337429983706 52.27149968094392, -0.4103061285783262 52.47366235249322, -0.0615017453078351 52.55772825871872, 0.0821198469060041 52.35518457887973, -0.2653337429983706 52.27149968094392))",Great North Road Highway Corridor (Huntingdonshire)
0.02,0.0,0.02,0.02,0.02,0.0,0.0,1.0,1.0,2.0,"POLYGON ((25.34168604904752 69.36139813363506, 25.310878014439965 69.59284286843705, 25.93059828046058 69.60349763025357, 25.956291172880757 69.3719388540905, 25.34168604904752 69.36139813363506))",Deanugeaidnu Route (Finnmark)
26.36,0.0,3.89,17.47,5.62,13.59,20.74,3.0,2.0,5.0,"POLYGON ((3.052091157233723 45.057670023978254, 2.9412519617774295 45.265736034887176, 3.245503457925961 45.34148717388376, 3.3552650108814404 45.13314816359666, 3.052091157233723 45.057670023978254))",La Méridienne Highway Corridor (Bonnac)
33.54,0.0,4.61,18.82,8.72,14.21,24.82,5.0,2.0,7.0,"POLYGON ((5.679668938021754 52.38432772772858, 5.56268324692489 52.5925811310784, 5.922936737349942 52.660113702276206, 6.038365112226764 52.451543840820385, 5.679668938021754 52.38432772772858))",Motorway A28 Corridor (Dronten)
184.04,0.0,21.78,121.44,32.64,99.66,151.4,17.0,6.0,23.0,"POLYGON ((-2.2508178186990735 52.72851575392022, -2.4066902494501146 52.92828648230126, -2.058207466488478 53.017730812154376, -1.903639005068388 52.817552681409325, -2.2508178186990735 52.72851575392022))",Motorway M6 Corridor (Stafford)
